ds,y,predict
2022-03-14,567.7999877929688,1.5
2022-03-15,592.760009765625,1.5
2022-03-16,607.1199951171875,1.5
2022-03-17,602.6699829101562,2.0
2022-03-18,610.4099731445312,2.0
2022-03-21,601.2899780273438,2.0
2022-03-22,611.3400268554688,2.0
2022-03-23,599.3800048828125,2.0
2022-03-24,626.4299926757812,2.0
2022-03-25,628.8699951171875,1.0
2022-03-28,632.8800048828125,1.0
2022-03-29,641.469970703125,1.0
2022-03-30,631.0900268554688,1.0
2022-03-31,629.6799926757812,0.0
2022-04-01,626.97998046875,0.0
2022-04-04,634.8499755859375,0.0
2022-04-05,614.1199951171875,0.0
2022-04-06,602.0,0.0
2022-04-07,603.0499877929688,0.0
2022-04-08,587.0,0.0
2022-04-11,580.6099853515625,0.0
2022-04-12,585.0700073242188,1.5
2022-04-13,592.5399780273438,1.5
2022-04-14,573.8499755859375,1.5
2022-04-18,586.5,1.5
2022-04-19,597.6199951171875,1.5
2022-04-20,597.719970703125,1.5
2022-04-21,592.72998046875,1.5
2022-04-22,586.9500122070312,1.0
2022-04-25,587.8800048828125,0.0
2022-04-26,560.0700073242188,2.0
2022-04-27,559.5399780273438,2.0
2022-04-28,578.9400024414062,0.0
2022-04-29,554.3900146484375,0.0
2022-05-02,576.3499755859375,0.0
2022-05-03,581.1699829101562,0.0
2022-05-04,603.6599731445312,0.0
2022-05-05,579.989990234375,0.0
2022-05-06,580.0999755859375,0.0
2022-05-09,562.9199829101562,0.0
2022-05-10,581.3900146484375,0.0
2022-05-11,567.1099853515625,0.0
2022-05-12,571.5700073242188,1.0
2022-05-13,588.239990234375,1.0
2022-05-16,582.6699829101562,1.0
2022-05-17,608.1500244140625,1.0
2022-05-18,570.5700073242188,1.0
2022-05-19,546.2100219726562,1.0
2022-05-20,543.1900024414062,1.0
2022-05-23,526.3599853515625,1.0
2022-05-24,524.2000122070312,1.667
2022-05-25,531.6300048828125,1.0
2022-05-26,550.6599731445312,1.5
2022-05-27,583.280029296875,0.0
2022-05-31,580.1300048828125,1.0
2022-06-01,573.6199951171875,1.0
2022-06-02,576.739990234375,2.0
2022-06-03,563.3200073242188,2.0
2022-06-06,561.22998046875,2.0
2022-06-07,572.989990234375,2.0
2022-06-08,565.3599853515625,0.5
2022-06-09,556.219970703125,1.0
2022-06-10,541.27001953125,1.0
2022-06-13,517.6199951171875,1.5
2022-06-14,520.1699829101562,1.5
2022-06-15,526.7100219726562,1.5
2022-06-16,497.17999267578125,1.5
2022-06-17,498.6499938964844,1.5
2022-06-21,503.7699890136719,1.5
2022-06-22,496.1000061035156,1.5
2022-06-23,496.5799865722656,1.5
2022-06-24,509.0899963378906,1.5
2022-06-27,505.7099914550781,1.5
2022-06-28,498.45001220703125,1.5
2022-06-29,490.4100036621094,1.5
2022-06-30,485.80999755859375,1.5
2022-07-01,477.8399963378906,1.5
2022-07-05,476.29998779296875,0.0
2022-07-06,482.6099853515625,0.0
2022-07-07,498.5400085449219,0.0
2022-07-08,498.69000244140625,0.0
2022-07-11,482.8599853515625,1.0
2022-07-12,481.3699951171875,1.0
2022-07-13,481.7300109863281,1.0
2022-07-14,484.6400146484375,1.0
2022-07-15,494.4599914550781,1.0
2022-07-18,491.05999755859375,1.0
2022-07-19,509.0,1.0
2022-07-20,511.7699890136719,1.0
2022-07-21,517.6799926757812,1.0
2022-07-22,512.52001953125,1.0
2022-07-25,513.1099853515625,1.0
2022-07-26,511.0899963378906,1.0
2022-07-27,527.7899780273438,1.0
2022-07-28,533.6099853515625,1.0
2022-07-29,535.47998046875,1.0
2022-08-01,536.3699951171875,1.0
2022-08-02,531.2100219726562,1.0
2022-08-03,546.739990234375,1.0
2022-08-04,552.7999877929688,1.0
2022-08-05,551.4400024414062,1.0
2022-08-08,545.530029296875,1.0
2022-08-09,532.7999877929688,1.0
2022-08-10,550.4099731445312,1.0
2022-08-11,545.4299926757812,1.0
2022-08-12,558.22998046875,0.0
2022-08-15,558.9600219726562,0.0
2022-08-16,551.6500244140625,2.0
2022-08-17,538.5900268554688,2.0
2022-08-18,558.4500122070312,2.0
2022-08-19,548.4299926757812,2.0
2022-08-22,528.75,2.0
2022-08-23,529.780029296875,2.0
2022-08-24,530.8400268554688,2.0
2022-08-25,550.1300048828125,0.0
2022-08-26,520.8599853515625,0.0
2022-08-29,514.1799926757812,0.0
2022-08-30,506.3900146484375,0.0
2022-08-31,499.1099853515625,0.0
2022-09-01,492.010009765625,1.667
2022-09-02,500.2200012207031,1.667
2022-09-06,498.20001220703125,0.0
2022-09-07,505.1300048828125,0.0
2022-09-08,511.92999267578125,0.0
2022-09-09,522.4000244140625,0.0
2022-09-12,529.0599975585938,0.0
2022-09-13,503.6499938964844,0.0
2022-09-14,510.75,0.0
2022-09-15,500.1400146484375,1.0
2022-09-16,502.5,1.0
2022-09-19,501.8399963378906,2.0
2022-09-20,493.05999755859375,2.0
2022-09-21,482.1400146484375,2.0
2022-09-22,477.6099853515625,2.0
2022-09-23,468.67999267578125,0.0
2022-09-26,462.260009765625,0.0
2022-09-27,464.75,0.0
2022-09-28,465.9599914550781,0.0
2022-09-29,450.1300048828125,1.0
2022-09-30,444.010009765625,1.0
2022-10-03,456.7799987792969,1.0
2022-10-04,479.8599853515625,1.0
2022-10-05,484.79998779296875,1.0
2022-10-06,479.5,1.0
2022-10-07,460.4800109863281,1.0
2022-10-10,437.70001220703125,1.0
2022-10-11,430.760009765625,1.0
2022-10-12,430.57000732421875,1.0
2022-10-13,437.9700012207031,2.0
2022-10-14,427.1000061035156,1.0
2022-10-17,435.3699951171875,1.0
2022-10-18,434.8299865722656,1.0
2022-10-19,435.29998779296875,0.0
2022-10-20,430.29998779296875,0.0
2022-10-21,449.7300109863281,0.0
2022-10-24,456.5199890136719,1.0
2022-10-25,460.07000732421875,1.0
2022-10-26,461.17999267578125,1.0
2022-10-27,455.3999938964844,1.0
2022-10-28,472.8999938964844,1.0
2022-10-31,470.1199951171875,1.0
2022-11-01,467.8999938964844,1.0
2022-11-02,456.0299987792969,1.0
2022-11-03,444.1199951171875,1.0
2022-11-04,465.29998779296875,0.0
2022-11-07,475.2200012207031,0.0
2022-11-08,482.1099853515625,0.0
2022-11-09,469.4700012207031,0.0
2022-11-10,506.57000732421875,0.0
2022-11-11,518.0900268554688,0.0
2022-11-14,513.219970703125,0.0
2022-11-15,524.4199829101562,0.0
2022-11-16,511.7300109863281,0.0
2022-11-17,512.1099853515625,0.0
2022-11-18,515.1599731445312,0.0
2022-11-21,517.4400024414062,0.0
2022-11-22,530.0499877929688,0.0
2022-11-23,533.6400146484375,0.0
2022-11-25,529.9099731445312,0.0
2022-11-28,522.2100219726562,1.0
2022-11-29,521.3900146484375,2.0
2022-11-30,551.030029296875,2.0
2022-12-01,550.75,2.0
2022-12-02,540.7999877929688,2.0
2022-12-05,530.6400146484375,2.0
2022-12-06,525.8200073242188,2.0
2022-12-07,518.5,2.0
2022-12-08,531.0800170898438,1.0
2022-12-09,544.719970703125,1.5
2022-12-12,556.6300048828125,1.5
2022-12-13,571.0399780273438,1.0
2022-12-14,574.4400024414062,1.0
2022-12-15,558.0,1.0
2022-12-16,555.9099731445312,1.0
2022-12-19,549.6300048828125,1.0
2022-12-20,544.02001953125,1.0
2022-12-21,561.22998046875,1.0
2022-12-22,553.0900268554688,1.0
2022-12-23,552.4299926757812,1.0
2022-12-27,553.5399780273438,1.0
2022-12-28,544.8900146484375,1.0
2022-12-29,557.8099975585938,1.0
2022-12-30,559.1300048828125,1.0
2023-01-03,553.47998046875,1.0
2023-01-04,560.239990234375,1.0
2023-01-05,555.02001953125,0.0
2023-01-06,588.4299926757812,0.0
2023-01-09,576.8900146484375,1.0
2023-01-10,574.9299926757812,0.0
2023-01-11,578.1400146484375,0.0
2023-01-12,581.9400024414062,0.0
2023-01-13,579.0,0.0
2023-01-17,579.239990234375,0.0
2023-01-18,574.2899780273438,2.0
2023-01-19,563.219970703125,2.0
2023-01-20,570.780029296875,2.0
2023-01-23,581.6300048828125,2.0
2023-01-24,585.030029296875,2.0
2023-01-25,585.6799926757812,2.0
2023-01-26,598.5800170898438,2.0
2023-01-27,590.989990234375,2.0
2023-01-30,581.4500122070312,2.0
2023-01-31,585.010009765625,1.0
2023-02-01,602.75,1.0
2023-02-02,605.77001953125,2.0
2023-02-03,597.6199951171875,2.0
2023-02-06,601.2999877929688,2.0
2023-02-07,614.4500122070312,2.0
2023-02-08,601.7100219726562,1.0
2023-02-09,599.4099731445312,0.0
2023-02-10,593.25,0.0
2023-02-13,601.1199951171875,0.0
2023-02-14,602.3099975585938,2.0
2023-02-15,607.6900024414062,2.0
2023-02-16,600.5399780273438,2.0
2023-02-17,595.5900268554688,1.0
2023-02-21,581.5399780273438,1.0
2023-02-22,576.1699829101562,1.0
2023-02-23,583.7999877929688,1.0
2023-02-24,577.75,1.0
2023-02-27,585.4500122070312,1.0
2023-02-28,594.2899780273438,1.0
2023-03-01,593.5700073242188,1.0
2023-03-02,598.6500244140625,1.333
2023-03-03,632.760009765625,2.0
2023-03-06,632.9199829101562,1.5
2023-03-07,625.1500244140625,1.5
2023-03-08,632.260009765625,1.5
2023-03-09,622.52001953125,0.333
2023-03-10,614.8300170898438,2.0
2023-03-13,616.469970703125,2.0
2023-03-14,632.4600219726562,0.0
2023-03-15,626.0399780273438,0.0
2023-03-16,636.5,0.0
2023-03-17,630.969970703125,1.5
2023-03-20,643.7100219726562,1.0
2023-03-21,636.75,1.0
2023-03-22,630.9199829101562,0.75
2023-03-23,639.22998046875,0.75
2023-03-24,636.1699829101562,1.5
2023-03-27,626.8400268554688,1.0
2023-03-28,624.7000122070312,1.0
2023-03-29,625.5,0.25
2023-03-30,633.75,0.25
2023-03-31,641.5399780273438,0.25
2023-04-03,642.469970703125,1.0
2023-04-04,634.4099731445312,1.0
2023-04-05,629.010009765625,1.0
2023-04-06,622.6400146484375,0.0
2023-04-10,627.3900146484375,0.0
2023-04-11,621.5700073242188,0.0
2023-04-12,616.7000122070312,1.0
2023-04-13,624.239990234375,1.0
2023-04-14,619.5399780273438,2.0
2023-04-17,627.3599853515625,1.0
2023-04-18,632.3200073242188,1.0
2023-04-19,634.5,2.0
2023-04-20,633.02001953125,2.0
2023-04-21,632.9000244140625,2.0
2023-04-24,634.5399780273438,2.0
2023-04-25,622.02001953125,2.0
2023-04-26,616.1900024414062,2.0
2023-04-27,618.4099731445312,2.0
2023-04-28,626.5,2.0
2023-05-01,637.9500122070312,2.0
2023-05-02,612.3400268554688,2.0
2023-05-03,613.2000122070312,2.0
2023-05-04,610.1599731445312,2.0
2023-05-05,630.1199951171875,1.0
2023-05-08,629.0599975585938,0.5
2023-05-09,618.510009765625,1.0
2023-05-10,626.27001953125,1.0
2023-05-11,627.6699829101562,1.0
2023-05-12,631.1500244140625,1.0
2023-05-15,639.7999877929688,1.0
2023-05-16,641.4400024414062,1.0
2023-05-17,657.469970703125,0.75
2023-05-18,677.9000244140625,0.75
2023-05-19,682.25,0.0
2023-05-22,678.3699951171875,2.0
2023-05-23,686.5,1.4
2023-05-24,679.530029296875,1.4
2023-05-25,728.7999877929688,2.0
2023-05-26,812.72998046875,2.0
2023-05-30,803.3400268554688,1.75
2023-05-31,807.9600219726562,2.0
2023-06-01,789.9500122070312,1.5
2023-06-02,812.0,1.333
2023-06-05,802.2999877929688,2.0
2023-06-06,790.0,2.0
2023-06-07,792.6300048828125,2.0
2023-06-08,804.2000122070312,2.0
2023-06-09,804.6199951171875,2.0
2023-06-12,855.3599853515625,1.333
2023-06-13,851.1199951171875,1.5
2023-06-14,886.1799926757812,1.5
2023-06-15,883.4299926757812,1.0
2023-06-16,868.1099853515625,1.5
2023-06-20,868.030029296875,2.0
2023-06-21,847.6599731445312,1.5
2023-06-22,842.4299926757812,2.0
2023-06-23,822.1500244140625,1.0
2023-06-26,821.6300048828125,1.0
2023-06-27,848.4000244140625,1.5
2023-06-28,847.9400024414062,1.0
2023-06-29,862.5700073242188,1.0
2023-06-30,867.4299926757812,1.0
2023-07-03,876.4400024414062,2.0
2023-07-05,861.8599853515625,0.0
2023-07-06,848.0,0.0
2023-07-07,846.75,1.25
2023-07-10,877.72998046875,2.0
2023-07-11,882.0499877929688,1.0
2023-07-12,889.9500122070312,1.667
2023-07-13,890.3599853515625,1.0
2023-07-14,888.5800170898438,1.667
2023-07-17,910.3499755859375,2.0
2023-07-18,903.4299926757812,1.0
2023-07-19,901.3699951171875,1.0
2023-07-20,888.3400268554688,1.333
2023-07-21,896.75,1.25
2023-07-24,901.5900268554688,0.0
2023-07-25,917.989990234375,0.5
2023-07-26,893.0900268554688,2.0
2023-07-27,893.530029296875,2.0
2023-07-28,899.7899780273438,2.0
2023-07-31,898.6500244140625,2.0
2023-08-01,920.0,2.0
2023-08-02,892.2999877929688,2.0
2023-08-03,884.97998046875,1.0
2023-08-04,881.6500244140625,2.0
2023-08-07,897.0599975585938,2.0
2023-08-08,883.1599731445312,2.0
2023-08-09,850.72998046875,1.0
2023-08-10,842.9000244140625,1.0
2023-08-11,829.760009765625,1.0
2023-08-14,854.0999755859375,1.0
2023-08-15,842.52001953125,2.0
2023-08-16,832.989990234375,2.0
2023-08-17,827.0999755859375,1.0
2023-08-18,825.8400268554688,1.0
2023-08-21,865.1400146484375,1.2
2023-08-22,855.7899780273438,1.2
2023-08-23,876.5800170898438,0.0
2023-08-24,854.4600219726562,1.5
2023-08-25,851.8200073242188,2.0
2023-08-28,861.0800170898438,2.0
2023-08-29,889.9299926757812,2.0
2023-08-30,892.280029296875,1.0
2023-08-31,922.8900146484375,0.4
2023-09-01,872.52001953125,1.0
2023-09-05,872.1699829101562,0.667
2023-09-06,872.27001953125,0.5
2023-09-07,857.030029296875,1.333
2023-09-08,857.5499877929688,1.0
2023-09-11,859.1400146484375,0.667
2023-09-12,844.52001953125,0.667
2023-09-13,852.9299926757812,2.0
2023-09-14,871.6400146484375,2.0
2023-09-15,851.6799926757812,0.5
2023-09-18,850.0,2.0
2023-09-19,849.2000122070312,2.0
2023-09-20,830.5700073242188,0.0
2023-09-21,808.3599853515625,0.429
2023-09-22,829.0800170898438,0.333
2023-09-25,833.8900146484375,0.333
2023-09-26,816.1900024414062,1.0
2023-09-27,816.8099975585938,1.0
2023-09-28,832.0,2.0
2023-09-29,830.5800170898438,2.0
2023-10-02,834.9500122070312,2.0
2023-10-03,814.8300170898438,2.0
2023-10-04,823.8099975585938,1.0
2023-10-05,823.8599853515625,0.0
2023-10-06,845.260009765625,1.0
2023-10-09,855.8800048828125,1.0
2023-10-10,858.4099731445312,1.0
2023-10-11,874.5599975585938,1.0
2023-10-12,905.5999755859375,1.75
2023-10-13,883.1799926757812,1.75
2023-10-16,902.5700073242188,1.75
2023-10-17,884.4000244140625,0.8
2023-10-18,887.030029296875,1.0
2023-10-19,867.8300170898438,0.6
2023-10-20,853.6300048828125,0.667
2023-10-23,862.219970703125,1.0
2023-10-24,881.1099853515625,1.0
2023-10-25,849.6300048828125,1.0
2023-10-26,826.75,1.0
2023-10-27,838.3599853515625,1.0
2023-10-30,841.25,1.0
2023-10-31,841.3699951171875,1.0
2023-11-01,852.9400024414062,1.0
2023-11-02,871.2999877929688,0.0
2023-11-03,882.6799926757812,1.0
2023-11-06,880.8300170898438,2.0
2023-11-07,897.8200073242188,1.667
2023-11-08,911.1300048828125,1.0
2023-11-09,911.3800048828125,1.0
2023-11-10,957.52001953125,1.0
2023-11-13,946.9299926757812,2.0
2023-11-14,972.9600219726562,1.5
2023-11-15,975.4000244140625,1.333
2023-11-16,959.5499877929688,2.0
2023-11-17,977.72998046875,1.0
2023-11-20,995.7100219726562,1.75
2023-11-21,981.2000122070312,0.5
2023-11-22,972.0,0.8
2023-11-24,978.8699951171875,1.667
2023-11-27,950.239990234375,1.0
2023-11-28,946.3499755859375,0.0
2023-11-29,940.8300170898438,1.0
2023-11-30,925.72998046875,1.0
2023-12-01,930.0,1.0
2023-12-04,923.969970703125,1.0
2023-12-05,913.1199951171875,2.0
2023-12-06,903.6400146484375,1.25
2023-12-07,922.260009765625,1.083
2023-12-08,944.2999877929688,1.6
2023-12-11,1029.239990234375,2.0
2023-12-12,1072.280029296875,1.0
2023-12-13,1089.68994140625,1.8
2023-12-14,1106.489990234375,1.333
2023-12-15,1129.739990234375,1.833
2023-12-18,1147.0,1.429
2023-12-19,1139.5799560546875,1.0
2023-12-20,1110.3800048828125,1.333
2023-12-21,1127.2900390625,1.0
2023-12-22,1121.97998046875,1.0
2023-12-26,1131.8900146484375,1.0
